Model,Random Seed,Test Set,Feature Group Blanked,prevalence,mean_pred_clean,mean_pred_blanked,sd_pred_clean,sd_pred_blanked,share_gt0.5_clean,share_gt0.5_blanked,corr_clean_blanked,spearman_clean_blanked,Brier_clean,Brier_blanked,AUROC_clean,AUROC_blanked
LightGBM,42,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.47632285952568054,0.4737648069858551,0.3610556423664093,0.36106762290000916,0.5303486264364782,0.5292751174700385,0.9924730416692371,0.9887873762185265,0.12345018237829208,0.12521681189537048,0.9040791641747993,0.9009972656126717
LightGBM,42,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.45452064275741577,0.45327961444854736,0.36173704266548157,0.3625166416168213,0.503935098843715,0.5059380828049236,0.9948209134178474,0.99211698268545,0.1193416640162468,0.12104813754558563,0.9108665045368295,0.9081465351676741
LightGBM,43,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.47592100501060486,0.47183799743652344,0.35980674624443054,0.35941165685653687,0.5305422100205902,0.5264593562465902,0.9925598567278883,0.9894926123580899,0.12282264977693558,0.1248181164264679,0.9046449041764694,0.9008019742579629
LightGBM,43,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.455211341381073,0.45297276973724365,0.3611324727535248,0.3615770936012268,0.5054457292055203,0.5046661693397986,0.9948709316304378,0.9928024838958306,0.11940458416938782,0.12113666534423828,0.9107954432389646,0.9079920505261779
LightGBM,44,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.4768247604370117,0.4753856062889099,0.36110493540763855,0.36099547147750854,0.5317389085405557,0.5315805219717368,0.992993866753006,0.9903899121299509,0.12431919574737549,0.12618164718151093,0.9023195906855901,0.8990009834635896
LightGBM,44,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.4541684091091156,0.4537125825881958,0.36142316460609436,0.3621658682823181,0.5045132413278627,0.5055054084296904,0.9952794107828009,0.9936928389892252,0.11943499743938446,0.12102778255939484,0.9106387599724654,0.9081268638051463
Logistic Regression,42,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.4822918176651001,0.4636108875274658,0.31306180357933044,0.3064393103122711,0.5653520581454693,0.5406613519173574,0.9970485830712287,0.995609381235938,0.1561613827943802,0.15595316886901855,0.845116723005837,0.8445533144480758
Logistic Regression,42,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.46065542101860046,0.44722166657447815,0.31558021903038025,0.3099754750728607,0.532875792614696,0.5156732562476688,0.99800146960254,0.9970827695356316,0.15067017078399658,0.15078037977218628,0.8552542349191907,0.8553684062964872
Logistic Regression,43,In-domain Test,Citizenship_Nativity_Ancestry,0.45615331819861676,0.4826151728630066,0.4636065661907196,0.31242382526397705,0.3058072328567505,0.5669887193565986,0.5419108459602626,0.9968999262513998,0.9953942933859131,0.15613578259944916,0.15603064000606537,0.844153065141504,0.8436816446863004
Logistic Regression,43,Shifted Test,Citizenship_Nativity_Ancestry,0.45210742260350617,0.46126827597618103,0.4474946856498718,0.3150257170200348,0.30930569767951965,0.5329690414024618,0.5150055949272659,0.9978963643446356,0.9969308960260052,0.15079167485237122,0.15089809894561768,0.855157541446641,0.8552884487829617
