Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Baseline,None,LightGBM,42,In-domain Test,0.020169533747786003,0.0006855208113165408,0.12471494934659912,0.24807746849500822,0.4763228519464027,0.45615331819861676,0.12345018610702983,0.24807746865637376,0.4561660211712442,0.2796930820266441,0.12869788641923166,0.3610556423664093
Baseline,None,LightGBM,42,Shifted Test,0.010892431537201274,0.00019818579119262888,0.12767714721288154,0.24770630103032082,0.45452066154714243,0.45210742260350617,0.11934167237930665,0.2477227732526549,0.4561660211712442,0.30043267437523313,0.12206266318537859,0.36173704266548157
Baseline,None,LightGBM,43,In-domain Test,0.01976769813345098,0.0006258046289265544,0.12528146770863333,0.24807746849500822,0.47592101633206774,0.45615331819861676,0.12282265260700753,0.24807746865637376,0.4561660211712442,0.27805642081551485,0.12956021329391268,0.35980674624443054
Baseline,None,LightGBM,43,Shifted Test,0.011332102642961125,0.0002186233044827086,0.1276606602661117,0.24770630103032082,0.4552113567108469,0.45210742260350617,0.11940458628570001,0.2477227732526549,0.4561660211712442,0.29791495710555765,0.12444237224916076,0.3611324727535248
Baseline,None,LightGBM,44,In-domain Test,0.020671428119136696,0.0006823148862631744,0.12356601895233027,0.24807746849500822,0.47682474631775346,0.45615331819861676,0.12431919452553007,0.24807746865637376,0.4561660211712442,0.28205128205128205,0.1309328968903437,0.36110493540763855
Baseline,None,LightGBM,44,Shifted Test,0.010802002568425687,0.00018686949953900366,0.12754939752668198,0.24770630103032082,0.45416840468331954,0.45210742260350617,0.11943500044274682,0.2477227732526549,0.4561660211712442,0.30150317045878405,0.12323759791122715,0.36142316460609436
Baseline,None,Logistic Regression,42,In-domain Test,0.02613849068430936,0.0009293471075368001,0.09242094771736466,0.24807746849500822,0.4822918088829261,0.45615331819861676,0.15616139813937482,0.24807746865637376,0.4561660211712442,0.2323178994421273,0.012178167291413688,0.31306180357933044
Baseline,None,Logistic Regression,42,Shifted Test,0.011878889042566773,0.0002517172186131779,0.09668062551630294,0.24770630103032082,0.46065542304619306,0.45210742260350617,0.1506701801539464,0.2477227732526549,0.4561660211712442,0.25154419992540095,0.011917195076464005,0.31558021903038025
Baseline,None,Logistic Regression,43,In-domain Test,0.026461856868764563,0.0009555288388820052,0.09249781947929218,0.24807746849500822,0.48261517506738133,0.45615331819861676,0.15613578459787927,0.24807746865637376,0.4561660211712442,0.2321771113809549,0.0123189553525861,0.31242382526397705
Baseline,None,Logistic Regression,43,Shifted Test,0.011652898721980323,0.00025224249838645343,0.09655746697479287,0.24770630103032082,0.4612682572340689,0.45210742260350617,0.15079167358150064,0.2477227732526549,0.4561660211712442,0.25114882506527414,0.01206639313688922,0.3150257170200348
