,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,None,LightGBM,In-domain Test,0.020202886666791226,0.00045278723994996025,0.0006645467755020899,3.35899528106569e-05,0.1245208120025209,0.0008740469610665876,0.24807746849500822,0.0,0.476356204865408,0.0004527872399499643,0.45615331819861676,0.0,0.12353067774652249,0.0007515108824860326,0.24807746865637373,0.0,0.4561660211712442,0.0,0.27993359496448034,0.002008261419290033,0.12973033220116267,0.001127174912534911,0.3606557746728261,0.0007356931460509378
Baseline,None,LightGBM,Shifted Test,0.011008845582862697,0.00028357661182838067,0.00020122619840478036,1.60937593219388e-05,0.12762906833522505,6.948764749134313e-05,0.2477063010303208,0.0,0.4546334743137696,0.0005305490299363565,0.45210742260350617,0.0,0.11939375303591783,4.7597808058838095e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.2999502673131916,0.001842106456532504,0.12324754444858883,0.0011898857118504591,0.36143089334170025,0.0003023590491888883
Baseline,None,Logistic Regression,In-domain Test,0.026638227517173225,0.0006074392290482977,0.0009471819718248937,1.545598048166052e-05,0.09213087999068231,0.0005702816651927326,0.24807746849500822,0.0,0.4827915457157899,0.0006074392290482681,0.45615331819861676,0.0,0.15641874172101994,0.0004680893633388747,0.24807746865637373,0.0,0.4561660211712442,0.0,0.23266986959505834,0.0007349352557176171,0.012078442414749896,0.0003029466080912154,0.31295942266782123,0.0004924545457588715
Baseline,None,Logistic Regression,Shifted Test,0.011387828572521972,0.0006645058626997614,0.00024220913635922983,1.6925425050959752e-05,0.0965360838960645,0.0001563338123444143,0.2477063010303208,0.0,0.46068922366848924,0.0005628948900892177,0.45210742260350617,0.0,0.15079548188449812,0.0001272486298827368,0.2477227732526549,0.0,0.4561660211712442,0.0,0.25179534999378345,0.0008021506217902408,0.01175929379584732,0.0004095536581643656,0.315333753824234,0.0002823321025572314
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,In-domain Test,0.017535595175566313,0.001778840351629099,0.0005163264033524786,0.00012835135250578898,0.12247219211260034,0.0006558115304382751,0.24807746849500822,0.0,0.473662797497888,0.0017760160595219514,0.45615331819861676,0.0,0.12540552458315912,0.0007010807102439785,0.24807746865637373,0.0,0.4561660211712442,0.0,0.2850430283511958,0.0008101050128633783,0.12130064703846448,0.002847824271532676,0.3604915837446849,0.0009359396453569852
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,Shifted Test,0.011517434211613511,0.00037850205877438284,0.00020190456105324546,5.851798020480074e-06,0.125916069355425,9.1873416141764e-05,0.2477063010303208,0.0,0.45332163977613943,0.00037169018420643097,0.45210742260350617,0.0,0.12107086522810058,5.789083731924472e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.30686311077955986,0.0014070324386872037,0.1169426830784533,0.0015122887427004676,0.36208653450012207,0.0004747715294223418
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,In-domain Test,0.012783771901381627,0.0021231064131170445,0.0003083612334189717,3.560570761465382e-05,0.09152377313106717,0.00045858224702517724,0.24807746849500822,0.0,0.4642881742858133,0.0011768558571471138,0.45615331819861676,0.0,0.15630002876633328,0.0005351004029322315,0.24807746865637373,0.0,0.4561660211712442,0.0,0.23715748904492898,0.0006966430991989064,0.003977262728120655,0.00013286581903931076,0.3064609269301097,0.0006647660300277075
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,Shifted Test,0.011624162744029732,0.00018255828218340044,0.000186896885519009,7.479465929707065e-06,0.09634593006360308,0.00015704978429411273,0.2477063010303208,0.0,0.44733286100853115,0.00014338431086572052,0.45210742260350617,0.0,0.15090775922389973,0.00013247584480828315,0.2477227732526549,0.0,0.4561660211712442,0.0,0.25522814870073357,0.0006721402980552869,0.0049894318040532145,0.0001088949958455675,0.3097672363122304,0.00040033867918886354
