Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.845116725502698,0.7678138366320257,0.15616139814898075
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.8552542372781401,0.7855358330288644,0.1506701801480894
Baseline,None,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.904079160429508,0.8620349935501719,0.12345018621582167
Baseline,None,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.9108665017285567,0.8753193118913236,0.11934167241774156
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.845116725502698,0.7678138366320257,0.15616139814898075
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.8552542372781401,0.7855358330288644,0.1506701801480894
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.904079160429508,0.8620349935501719,0.12345018621582167
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.9108665017285567,0.8753193118913236,0.11934167241774156
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,In-domain Test,0.8414077047336089,0.7671827536592964,0.15946573797695454
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,Shifted Test,0.8519775701383169,0.7841531739741313,0.15387840179515364
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,In-domain Test,0.9035631354261422,0.8615906982207943,0.12492818949744525
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,Shifted Test,0.910471028454551,0.8749527678241789,0.1208044036319884
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,In-domain Test,0.8400163114931908,0.7660394172849857,0.16336458260003317
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,Shifted Test,0.8506889272419098,0.7828363972504161,0.15802757529858025
