Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,LightGBM,42,In-domain Test,0,15893,0.013375894798394428,0.011136978544013087
Baseline,None,LightGBM,42,In-domain Test,1,3552,0.14671674719592137,0.13372747747747749
Baseline,None,LightGBM,42,In-domain Test,2,2560,0.24883077235426754,0.216015625
Baseline,None,LightGBM,42,In-domain Test,3,2173,0.34821557502180434,0.3281178094799816
Baseline,None,LightGBM,42,In-domain Test,4,2509,0.45231763066500486,0.4065364687126345
Baseline,None,LightGBM,42,In-domain Test,5,3156,0.5525061110428833,0.5057034220532319
Baseline,None,LightGBM,42,In-domain Test,6,4120,0.6549965989965837,0.6007281553398058
Baseline,None,LightGBM,42,In-domain Test,7,7073,0.7535238750547563,0.7274141099957585
Baseline,None,LightGBM,42,In-domain Test,8,8474,0.8517182941548747,0.827354260089686
Baseline,None,LightGBM,42,In-domain Test,9,7313,0.931819746990822,0.9236975249555586
Baseline,None,LightGBM,42,Shifted Test,0,80546,0.012924085632743179,0.01720755841382564
Baseline,None,LightGBM,42,Shifted Test,1,17493,0.1464154215257293,0.1709255130623678
Baseline,None,LightGBM,42,Shifted Test,2,13061,0.24855363670297023,0.2479901998315596
Baseline,None,LightGBM,42,Shifted Test,3,10228,0.34804742665007843,0.3236214313648807
Baseline,None,LightGBM,42,Shifted Test,4,11667,0.4515462128037279,0.427187794634439
Baseline,None,LightGBM,42,Shifted Test,5,14451,0.5522737039075113,0.5352570756349042
Baseline,None,LightGBM,42,Shifted Test,6,20195,0.6554981187948882,0.6309482545184452
Baseline,None,LightGBM,42,Shifted Test,7,32237,0.7525348485627363,0.7370412879610385
Baseline,None,LightGBM,42,Shifted Test,8,35497,0.8511730460904734,0.8511423500577514
Baseline,None,LightGBM,42,Shifted Test,9,32725,0.9316466268207209,0.9427349121466768
Baseline,None,LightGBM,43,In-domain Test,0,15800,0.013247590569981904,0.010822784810126582
Baseline,None,LightGBM,43,In-domain Test,1,3542,0.14710348237459434,0.1194240542066629
Baseline,None,LightGBM,43,In-domain Test,2,2647,0.24884487343455963,0.22591613146958822
Baseline,None,LightGBM,43,In-domain Test,3,2149,0.3490833638573092,0.3103769194974407
Baseline,None,LightGBM,43,In-domain Test,4,2538,0.45186588671895067,0.4101654846335697
Baseline,None,LightGBM,43,In-domain Test,5,3113,0.5505814177217186,0.49630581432701576
Baseline,None,LightGBM,43,In-domain Test,6,4230,0.6541497387784593,0.6127659574468085
Baseline,None,LightGBM,43,In-domain Test,7,7326,0.7537379847453521,0.7323232323232324
Baseline,None,LightGBM,43,In-domain Test,8,8116,0.8507269254792436,0.8309512074913751
Baseline,None,LightGBM,43,In-domain Test,9,7362,0.9304267514564848,0.9201303993480032
Baseline,None,LightGBM,43,Shifted Test,0,79871,0.012602468468945317,0.01655168959947916
Baseline,None,LightGBM,43,Shifted Test,1,17952,0.14700739923781597,0.16794786096256684
Baseline,None,LightGBM,43,Shifted Test,2,13089,0.24852841922429733,0.24646649858659944
Baseline,None,LightGBM,43,Shifted Test,3,10021,0.34927511654170423,0.32302165452549647
Baseline,None,LightGBM,43,Shifted Test,4,11657,0.45185801667548214,0.4234365617225701
Baseline,None,LightGBM,43,Shifted Test,5,14177,0.551098993431322,0.5313536009028709
Baseline,None,LightGBM,43,Shifted Test,6,20675,0.6547077317105239,0.6262636033857316
Baseline,None,LightGBM,43,Shifted Test,7,33312,0.7527844206565109,0.7394032180595581
Baseline,None,LightGBM,43,Shifted Test,8,33983,0.8507927481795523,0.8510137421652002
Baseline,None,LightGBM,43,Shifted Test,9,33363,0.9303082893089336,0.9424212450918682
Baseline,None,LightGBM,44,In-domain Test,0,16027,0.013139769203561148,0.011917389405378424
Baseline,None,LightGBM,44,In-domain Test,1,3377,0.14816948931431467,0.13710393840687
Baseline,None,LightGBM,44,In-domain Test,2,2474,0.2487787034064411,0.20129345189975748
Baseline,None,LightGBM,44,In-domain Test,3,2183,0.35090990643735004,0.3179111314704535
Baseline,None,LightGBM,44,In-domain Test,4,2547,0.45307331946161056,0.42952493129171576
Baseline,None,LightGBM,44,In-domain Test,5,3109,0.5518908384682933,0.515921518173046
Baseline,None,LightGBM,44,In-domain Test,6,4353,0.6552768575441363,0.6126809097174363
Baseline,None,LightGBM,44,In-domain Test,7,6961,0.7536874555116617,0.7223100129291768
Baseline,None,LightGBM,44,In-domain Test,8,8352,0.8509396138347657,0.8171695402298851
Baseline,None,LightGBM,44,In-domain Test,9,7440,0.9309738871871784,0.921505376344086
Baseline,None,LightGBM,44,Shifted Test,0,80833,0.01300174870201151,0.01819801318768325
Baseline,None,LightGBM,44,Shifted Test,1,17380,0.14704212712550532,0.16939010356731876
Baseline,None,LightGBM,44,Shifted Test,2,12713,0.24885492964033007,0.24699126877998898
Baseline,None,LightGBM,44,Shifted Test,3,10335,0.3495868575676778,0.32239961296565073
Baseline,None,LightGBM,44,Shifted Test,4,11579,0.4517640015839892,0.42741169358321096
Baseline,None,LightGBM,44,Shifted Test,5,14182,0.551815589276007,0.5350444225074038
Baseline,None,LightGBM,44,Shifted Test,6,21502,0.6555455948195228,0.631941214770719
Baseline,None,LightGBM,44,Shifted Test,7,32430,0.7529253819549007,0.7408572309589886
Baseline,None,LightGBM,44,Shifted Test,8,34106,0.8517819334004818,0.8517562892159737
Baseline,None,LightGBM,44,Shifted Test,9,33040,0.9309535012478979,0.9419491525423729
Baseline,None,Logistic Regression,42,In-domain Test,0,13201,0.024067328334232817,0.012423301265055678
