Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Baseline,None,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.007085683965012561,0.001114673997959275,0.013133700271445928,0.0009650921030174756,-0.00413692474995031,0.0007334767756106782,3
Baseline,None,0.0,None,0.0,None,LightGBM,In-domain Test,0.9036812184305224,0.0012126596546952384,0.8619847690467587,0.0011487880028346257,0.12353067778001257,0.0007515109616672394,3
Baseline,None,0.0,None,0.0,None,LightGBM,Shifted Test,0.9107669023955349,0.00011652269073755466,0.8751184693182047,0.00025886833264276207,0.11939375303006226,4.7597768448359326e-05,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010831273748634499,0.0006254147980520018,0.01836627912407725,0.0008901754536901816,-0.005623259868929485,0.00036361857897105346,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.844290538143779,0.0007667513561748884,0.7673059381276629,0.0006897393854725017,0.15641874172150608,0.0004680894122979638,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.8551218118924134,0.00015344410519205939,0.7856722172517401,0.00020073930849506314,0.1507954818525766,0.00012724862193575108,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,Generalization Gap (Shifted - In-domain),0.007821741221803605,0.0011296020982931396,0.014305293330118355,0.0011183311825299226,-0.004334659345070578,0.0007501108209807731,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,In-domain Test,0.900266741111408,0.0011005191392996832,0.856509302861196,0.0011831493722102967,0.12540552458461485,0.0007010807800466758,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,Shifted Test,0.9080884823332117,8.408985680437352e-05,0.8708145961913143,9.082238809576163e-05,0.12107086523954429,5.7890813283169145e-05,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,Generalization Gap (Shifted - In-domain),0.011615364981122034,0.0008045930949711745,0.019550631175508665,0.0007088201149868613,-0.005392269557446973,0.00041550003373592797,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,In-domain Test,0.8436171266317319,0.0009700648700391056,0.7673285732283058,0.000735969992545315,0.15630002874241944,0.0005351003703628782,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,Shifted Test,0.855232491612854,0.00017090998195286086,0.7868792044038146,0.0003441330695514463,0.15090775918497246,0.00013247582233109925,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,Generalization Gap (Shifted - In-domain),0.006313021668939027,0.000844964111601976,0.011372348752796468,0.0006524151752404194,-0.004010128725936933,0.0005274472369088895,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,In-domain Test,0.8938819720014664,0.0009720078445379822,0.8486205492511267,0.0008543078377648977,0.1315269038800304,0.0005502922586698757,3
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,Shifted Test,0.9001949936704055,0.00016190097434272925,0.8599928980039232,0.00032201839886884,0.12751677515409346,3.941980752725338e-05,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010784534389665165,0.0006523357961666213,0.018276914127975014,0.0011535068974966444,-0.006243545318201732,0.00020393291874848803,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,In-domain Test,0.8325859500269596,0.0006681240924006774,0.7547820142379166,0.0008757723166457664,0.16596464805060548,0.0003272535644064116,3
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,Shifted Test,0.8433704844166247,0.0002097991489255322,0.7730589283658915,0.00027829833736449854,0.15972110273240372,0.00012891930791081625,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,Generalization Gap (Shifted - In-domain),0.008766883572126035,0.0012142161669180679,0.015625775037450107,0.001263658441913556,-0.0048518789486808505,0.0006348447403899907,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,In-domain Test,0.8966852102703148,0.0013517332022106498,0.851048416652767,0.0014539391350823555,0.12761604030876303,0.0006242740714403881,3
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,Shifted Test,0.9054520938424409,0.0001379114819744256,0.8666741916902171,0.00019057641298018222,0.12276416136008217,6.248169849845028e-05,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010374874428464112,0.000675181643507135,0.019061870506125584,0.00026462573124746703,-0.005104300409175579,0.0004163973067886016,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,In-domain Test,0.8360865517787704,0.0008848330067823936,0.7457231142574878,0.00041167890054364786,0.1600797112499371,0.00046474277892914414,3
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,Shifted Test,0.8464614262072345,0.00024275322093915687,0.7647849847636133,0.0002662014840361821,0.15497541084076152,0.0001603931060357149,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.007085683965012561,0.001114673997959275,0.013133700271445928,0.0009650921030174756,-0.00413692474995031,0.0007334767756106782,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,In-domain Test,0.9036812184305224,0.0012126596546952384,0.8619847690467587,0.0011487880028346257,0.12353067778001257,0.0007515109616672394,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Shifted Test,0.9107669023955349,0.00011652269073755466,0.8751184693182047,0.00025886833264276207,0.11939375303006226,4.7597768448359326e-05,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010831273748634499,0.0006254147980520018,0.01836627912407725,0.0008901754536901816,-0.005623259868929485,0.00036361857897105346,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.844290538143779,0.0007667513561748884,0.7673059381276629,0.0006897393854725017,0.15641874172150608,0.0004680894122979638,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.8551218118924134,0.00015344410519205939,0.7856722172517401,0.00020073930849506314,0.1507954818525766,0.00012724862193575108,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.0071075889175112135,0.0014404966485416066,0.013883157908737287,0.0018843049458275836,-0.0037857203254970753,0.0006746563437277861,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,In-domain Test,0.9025414116039983,0.0014329848175392997,0.8595661915527568,0.002114693197939992,0.12917728488548516,0.0006294962685654614,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Shifted Test,0.9096490005215094,2.030944034705492e-05,0.873449349461494,0.0003789461794801896,0.12539156455998807,5.084725545540597e-05,3
