Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.8693447747491854,0.8004437915828129,0.14247108248557488
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.87883855111671,0.8155578060823344,0.13671848546428755
Baseline,None,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.9037755895787816,0.8617991706899544,0.12368060562372353
Baseline,None,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.9108133158183968,0.8752271376527724,0.11935925807640588
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.8693447747491854,0.8004437915828129,0.14247108248557488
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.87883855111671,0.8155578060823344,0.13671848546428755
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.9037755895787816,0.8617991706899544,0.12368060562372353
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.9108133158183968,0.8752271376527724,0.11935925807640588
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,In-domain Test,0.8685423885091662,0.8004950887842271,0.14499434182791987
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,Shifted Test,0.8780647597467137,0.8151501188554207,0.13913271320099108
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,In-domain Test,0.9032477013648441,0.8606938955027831,0.12511936838823104
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,Shifted Test,0.9104964635165546,0.87482659361155,0.12077623884280787
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,In-domain Test,0.8680045134756584,0.7998709026556922,0.14968882928505775
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,Shifted Test,0.8774381908523552,0.8142702137940988,0.14412638388237017
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,42,In-domain Test,0.9025102784529289,0.8593730167021364,0.12936647866773027
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,42,Shifted Test,0.9096238567710232,0.8734648076083847,0.12541806277958636
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,42,In-domain Test,0.8671568229421971,0.7984057518651371,0.16490006332634416
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,42,Shifted Test,0.8762562639020395,0.8121661285354759,0.16041957338746776
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,42,In-domain Test,0.9003903867058334,0.8552595894031402,0.14583081170327947
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,42,Shifted Test,0.9072453610686162,0.8686849206185099,0.1425833775218692
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,42,In-domain Test,0.8648920695651428,0.7897861472367003,0.14425210095451912
Feature Shift,Education,0.0,None,0.0,Education,Logistic Regression,42,Shifted Test,0.8745988162152086,0.8055328929493386,0.13846271058885462
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,42,In-domain Test,0.897022468352787,0.8517121785661835,0.12745776055002067
Feature Shift,Education,0.0,None,0.0,Education,LightGBM,42,Shifted Test,0.9056155374925814,0.866916961281172,0.122555058374036
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,42,In-domain Test,0.8604632094031385,0.7895350551042476,0.15973981839943266
Feature Shift,Disability,0.0,None,0.0,Disability,Logistic Regression,42,Shifted Test,0.8692741805882073,0.804192945391475,0.15284426951608632
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,42,In-domain Test,0.8944732638377032,0.8491421356739299,0.13029942158756494
Feature Shift,Disability,0.0,None,0.0,Disability,LightGBM,42,Shifted Test,0.900006482954353,0.8599701990104436,0.12686557408764726
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,0.8685481144355317,0.7985592541882351,0.17867118762112003
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,0.8785119324839052,0.8149206404859565,0.169088076355542
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,0.901776111447688,0.8587153513875815,0.12556724999102994
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,0.9091605856931892,0.8725524199073769,0.12069916582055955
Baseline,None,0.0,None,0.0,None,Logistic Regression,43,In-domain Test,0.8683362988550793,0.798961636761205,0.14262257461231115
Baseline,None,0.0,None,0.0,None,Logistic Regression,43,Shifted Test,0.8788766520234514,0.8155767382477619,0.1367047407170181
Baseline,None,0.0,None,0.0,None,LightGBM,43,In-domain Test,0.9044619342063159,0.8628008572542171,0.12293678830551927
Baseline,None,0.0,None,0.0,None,LightGBM,43,Shifted Test,0.91074143450482,0.8751580677989204,0.11940941081266511
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,43,In-domain Test,0.8683362988550793,0.798961636761205,0.14262257461231115
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,43,Shifted Test,0.8788766520234514,0.8155767382477619,0.1367047407170181
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,In-domain Test,0.9044619342063159,0.8628008572542171,0.12293678830551927
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,43,Shifted Test,0.91074143450482,0.8751580677989204,0.11940941081266511
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,In-domain Test,0.867667899167167,0.7988828842879767,0.14506514938519469
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,43,Shifted Test,0.8780768906996957,0.8149703098059984,0.1391400801887674
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,In-domain Test,0.9041892414106985,0.8619410129089399,0.12438235283032796
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,43,Shifted Test,0.9102621690486092,0.8743347483533032,0.12092314967558732
