Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Baseline,None,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.0073698308265151375,0.0012888824176558239,0.013462137175023462,0.0011224019062806149,-0.004361181677594042,0.0008544179544839549,3
Baseline,None,0.0,None,0.0,None,LightGBM,In-domain Test,0.9033384893095734,0.0013943611971672498,0.8615878455651768,0.0013313134539446616,0.12378574154618066,0.0009061074158731394,3
Baseline,None,0.0,None,0.0,None,LightGBM,Shifted Test,0.9107083201360885,0.00012489003346561464,0.8750499827402002,0.0002494274285136465,0.11942455986858662,7.404781197881642e-05,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010359285330720799,0.0007906803973608984,0.0161287627054499,0.0008790494444806578,-0.00608303635952856,0.0004371171506639736,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.8684676822215777,0.0008193396865586845,0.7994553365063507,0.0008560273694242903,0.14282013816023864,0.00047940786079857435,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.8788269675522985,5.6375960391704675e-05,0.8155840992118005,3.0644008046736244e-05,0.13673710180071008,4.467944203460273e-05,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,Generalization Gap (Shifted - In-domain),0.008152752863278509,0.0013269606161553913,0.01479913023329064,0.0011434671222959071,-0.005091804437233551,0.0008435868674541662,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,In-domain Test,0.9009628911199506,0.0013911871900415926,0.8576070590279556,0.001354356985294843,0.12586665119675747,0.0008789846736063704,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,LightGBM,Shifted Test,0.9091156439832292,6.467400649100452e-05,0.8724061892612464,0.0002138920604782506,0.12077484675952392,6.8194172801898e-05,3
Feature Shift,Citizenship_Nativity_Ancestry,0.0,None,0.0,Citizenship_Nativity_Ancestry,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010998400954083332,0.0009715428309642518,0.017783734065352053,0.0012319860121678017,-0.010005930461170709,0.0007488502418438325,3
