Model,Random Seed,Test Set,Feature Group Blanked,prevalence,mean_pred_clean,mean_pred_blanked,sd_pred_clean,sd_pred_blanked,share_gt0.5_clean,share_gt0.5_blanked,corr_clean_blanked,spearman_clean_blanked,Brier_clean,Brier_blanked,AUROC_clean,AUROC_blanked
LightGBM,42,In-domain Test,Diagnoses,0.11316234498308907,0.4433155357837677,0.452518492937088,0.14782090485095978,0.13416072726249695,0.3583709131905299,0.37034949267192785,0.9005657034305624,0.8914647027656927,0.21128994226455688,0.21567228436470032,0.6838406062677324,0.6820903565783721
LightGBM,42,Shifted Test,Diagnoses,0.10411443739861377,0.44950735569000244,0.4604073464870453,0.14229227602481842,0.13336394727230072,0.37959003096888366,0.4079044388733225,0.9002248528397475,0.890265021709805,0.21728721261024475,0.22356954216957092,0.6576497744203128,0.6611387402511104
LightGBM,43,In-domain Test,Diagnoses,0.11529296327446033,0.4401732385158539,0.4139896333217621,0.15467779338359833,0.14700834453105927,0.352677319876647,0.2832211942809083,0.8863630940624221,0.8734936117070702,0.21262159943580627,0.19611230492591858,0.6648904024520301,0.6492777573238603
LightGBM,43,Shifted Test,Diagnoses,0.10411443739861377,0.437892884016037,0.4110293388366699,0.15018659830093384,0.14514923095703125,0.35039079781743104,0.28093201592685446,0.8794090446905415,0.8653962264465727,0.2106155902147293,0.19335228204727173,0.6608510241434384,0.6519693631308362
LightGBM,44,In-domain Test,Diagnoses,0.11591865357643759,0.44585999846458435,0.44383499026298523,0.1523589789867401,0.1473413109779358,0.37307152875175315,0.3774193548387097,0.9110005427232971,0.9063462568859706,0.21454869210720062,0.21237464249134064,0.6747520834482,0.6735549743799849
LightGBM,44,Shifted Test,Diagnoses,0.10411443739861377,0.44529956579208374,0.44749975204467773,0.14784421026706696,0.14357854425907135,0.38268691933343163,0.3993511281521899,0.9147066605705697,0.9121613104455778,0.2151867151260376,0.21637466549873352,0.6630158896699658,0.6596980612970541
Logistic Regression,42,In-domain Test,Diagnoses,0.11316234498308907,0.451200395822525,0.6384188532829285,0.1599571406841278,0.08693763613700867,0.3599915445321308,0.9695603156708005,0.7028728802900017,0.6682291029115668,0.22350750863552094,0.3737051784992218,0.6397569033888689,0.6529068798694867
Logistic Regression,42,Shifted Test,Diagnoses,0.10411443739861377,0.4478033781051636,0.6403041481971741,0.15515023469924927,0.08459190279245377,0.35245539006046306,0.9766996018286388,0.687049795585245,0.6538433554831838,0.22198553383350372,0.37991538643836975,0.6219992072651814,0.6341232702642838
Logistic Regression,43,In-domain Test,Diagnoses,0.11529296327446033,0.4508616626262665,0.6737302541732788,0.1644110381603241,0.08737477660179138,0.3677460050462574,0.9890664423885618,0.7201403730962805,0.691367305539563,0.2263209968805313,0.4134564697742462,0.6216361459168831,0.6166171317999877
Logistic Regression,43,Shifted Test,Diagnoses,0.10411443739861377,0.4423506259918213,0.6725982427597046,0.15795977413654327,0.08603861927986145,0.33800324435923906,0.98967703878484,0.7186007435887964,0.6896114486859899,0.21901902556419373,0.4160066246986389,0.6240543722822602,0.6303303838934937
Logistic Regression,44,In-domain Test,Diagnoses,0.11591865357643759,0.4561281204223633,0.6366500854492188,0.16473589837551117,0.09349643439054489,0.37762973352033663,0.9607293127629734,0.7228965339076567,0.6943564966882765,0.22859817743301392,0.3719600439071655,0.6306131552626997,0.6400404791488189
Logistic Regression,44,Shifted Test,Diagnoses,0.10411443739861377,0.458415150642395,0.6432192921638489,0.15667669475078583,0.08766970783472061,0.38135968146291105,0.9761097183306296,0.7118627898226949,0.6789078656395773,0.2297409027814865,0.3834994435310364,0.6253402347894006,0.6306830343090966
LightGBM,42,In-domain Test,Medications,0.11316234498308907,0.4433155357837677,0.3877173960208893,0.14782090485095978,0.1599740982055664,0.3583709131905299,0.2634582863585118,0.9158802780547594,0.9029452567648374,0.21128994226455688,0.1802770495414734,0.6838406062677324,0.6764983192101603
LightGBM,42,Shifted Test,Medications,0.10411443739861377,0.44950735569000244,0.39722418785095215,0.14229227602481842,0.1538926064968109,0.37959003096888366,0.28697832178144816,0.9162048172305296,0.907677304748385,0.21728721261024475,0.18639951944351196,0.6576497744203128,0.6521605521164854
LightGBM,43,In-domain Test,Medications,0.11529296327446033,0.4401732385158539,0.41490715742111206,0.15467779338359833,0.15658320486545563,0.352677319876647,0.2954864031398935,0.9592462947164692,0.9527882665842722,0.21262159943580627,0.1972767412662506,0.6648904024520301,0.6628070726302424
LightGBM,43,Shifted Test,Medications,0.10411443739861377,0.437892884016037,0.40055081248283386,0.15018659830093384,0.1508055478334427,0.35039079781743104,0.24701371479132872,0.9471488545091987,0.9406221770738649,0.2106155902147293,0.18739627301692963,0.6608510241434384,0.6545827067230907
LightGBM,44,In-domain Test,Medications,0.11591865357643759,0.44585999846458435,0.4232046604156494,0.1523589789867401,0.15430863201618195,0.37307152875175315,0.32398316970546986,0.9614958287528028,0.9569919658942203,0.21454869210720062,0.20081037282943726,0.6747520834482,0.669692069880612
LightGBM,44,Shifted Test,Medications,0.10411443739861377,0.44529956579208374,0.4190605878829956,0.14784421026706696,0.14921969175338745,0.38268691933343163,0.31691490930541216,0.9529948414718709,0.9490499258428015,0.2151867151260376,0.19840839505195618,0.6630158896699658,0.6585272619172525
Logistic Regression,42,In-domain Test,Medications,0.11316234498308907,0.451200395822525,0.6480667591094971,0.1599571406841278,0.14974777400493622,0.3599915445321308,0.8546364148816235,0.9693560433336308,0.9874136059980972,0.22350750863552094,0.3948669135570526,0.6397569033888689,0.6378292194038762
