Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Baseline,None,LightGBM,42,In-domain Test,0.33015322762073185,0.11594049431996803,0.00498296554197702,0.1003566286610174,0.44331557260382093,0.11316234498308907,0.2112899358827701,0.10036071364647352,0.11114121028789863,0.0072576099210823,7.046223224351747e-05,0.14782090485095978
Baseline,None,LightGBM,42,Shifted Test,0.3453929331238784,0.12755779209386517,0.0036959931286225274,0.0932746213237839,0.4495073705224922,0.10411443739861377,0.2172872299993261,0.09332399686102151,0.11114121028789863,0.006488718478100575,0.0010322961215160006,0.14229227602481842
Baseline,None,LightGBM,43,In-domain Test,0.32488027622571825,0.11438696068278147,0.004018400888267738,0.10200049589385426,0.44017323950017856,0.11529296327446033,0.21262159878552245,0.10201381262937234,0.11164375301495418,0.011494252873563218,0.00014017381553125876,0.15467779338359833
Baseline,None,LightGBM,43,Shifted Test,0.33377846417205026,0.12056964272784662,0.0036634382689962695,0.0932746213237839,0.4378929015706641,0.10411443739861377,0.21061559916850245,0.09333131191743436,0.11164375301495418,0.013567320454210293,0.0,0.15018659830093384
Baseline,None,LightGBM,44,In-domain Test,0.3299413314102241,0.11695464266873931,0.00491451668906375,0.10248151932946344,0.4458599849866617,0.11591865357643759,0.21454869372758495,0.10250046154094353,0.1115663884788045,0.005820476858345021,7.012622720897616e-05,0.1523589789867401
Baseline,None,LightGBM,44,Shifted Test,0.3412933360684711,0.12562521305708682,0.0037326000865042465,0.0932746213237839,0.44529956330452813,0.10411443739861377,0.21518672200252745,0.09333015289868547,0.1115663884788045,0.00840583984663029,0.0005898834980091432,0.14784421026706696
Baseline,None,Logistic Regression,42,In-domain Test,0.33803806524163216,0.12591711673402597,0.003270459954566154,0.1003566286610174,0.45120041022472124,0.11316234498308907,0.22350752051321113,0.10036071364647352,0.11114121028789863,0.011837655016910935,0.0046505073280721535,0.1599571406841278
Baseline,None,Logistic Regression,42,Shifted Test,0.3436889656404765,0.13077125419540442,0.002447586661780286,0.0932746213237839,0.4478034030390903,0.10411443739861377,0.2219855502096852,0.09332399686102151,0.11114121028789863,0.010765373838666863,0.004129184486064003,0.15515023469924927
Baseline,None,Logistic Regression,43,In-domain Test,0.3355686879396125,0.12631410417863476,0.0026073419360266616,0.10200049589385426,0.4508616512140728,0.11529296327446033,0.22632099550875345,0.10201381262937234,0.11164375301495418,0.014998598261844687,0.005186431174656574,0.1644110381603241
Baseline,None,Logistic Regression,43,Shifted Test,0.3388499491274644,0.12791365393815426,0.0022434684622523356,0.0932746213237839,0.44235061349374977,0.10411443739861377,0.21901900749052577,0.09333131191743436,0.11164375301495418,0.00943813596814629,0.004866538858575431,0.15795977413654327
Baseline,None,Logistic Regression,44,In-domain Test,0.34020948880920276,0.12900383290701184,0.0032471018237544046,0.10248151932946344,0.45612814238564037,0.11591865357643759,0.22859817155379403,0.10250046154094353,0.1115663884788045,0.012622720897615708,0.006732117812061711,0.16473589837551117
Baseline,None,Logistic Regression,44,Shifted Test,0.3546967327669197,0.13864377353822097,0.0025377279323766065,0.0932746213237839,0.4584151527603607,0.10411443739861377,0.22974091312504183,0.09333015289868547,0.1115663884788045,0.007815956348621146,0.004719067984073145,0.15667669475078583
Feature Shift,Diagnoses,LightGBM,42,In-domain Test,0.33935616266012836,0.1202207926463426,0.004988012556912941,0.1003566286610174,0.45251850764321744,0.11316234498308907,0.21567228459151358,0.10036071364647352,0.11114121028789863,0.007750845546786922,0.0,0.13416072726249695
Feature Shift,Diagnoses,LightGBM,42,Shifted Test,0.3562929180041868,0.13368404108449328,0.0034009171287117915,0.0932746213237839,0.46040735540280053,0.10411443739861377,0.22356953295392473,0.09332399686102151,0.11114121028789863,0.005308951482082289,0.0008848252470137148,0.13336394727230072
Feature Shift,Diagnoses,LightGBM,43,In-domain Test,0.29869666577919685,0.09747657600088516,0.003427332373002757,0.10200049589385426,0.4139896290536572,0.11529296327446033,0.19611229363968247,0.10201381262937234,0.11164375301495418,0.009461732548359966,0.0,0.14700834453105927
Feature Shift,Diagnoses,LightGBM,43,Shifted Test,0.3069148957723847,0.10279576134765665,0.0031559773767737415,0.0932746213237839,0.4110293331709984,0.10411443739861377,0.19335228630365084,0.09333131191743436,0.11164375301495418,0.013862262203214865,0.0,0.14514923095703125
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,0.32791633280738663,0.11489596128404189,0.005125855856686621,0.10248151932946344,0.44383498638382424,0.11591865357643759,0.21237463215921715,0.10250046154094353,0.1115663884788045,0.004838709677419355,0.0,0.1473413109779358
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,0.34341438307912103,0.1264947725037143,0.0034519159949893807,0.0932746213237839,0.44749977474142505,0.10411443739861377,0.2163746703460066,0.09333015289868547,0.1115663884788045,0.006488718478100575,0.0001474708745022858,0.14357854425907135
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,0.5252565279227115,0.27694455368797904,0.0033792464907634484,0.1003566286610174,0.6384188729058006,0.11316234498308907,0.3737051910874331,0.10036071364647352,0.11114121028789863,0.0,0.00951240135287486,0.08693763613700867
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,0.5362742684870551,0.288774596290135,0.0025270432674690414,0.0932746213237839,0.6403041265167646,0.10411443739861377,0.37991540653037276,0.09332399686102151,0.11114121028789863,0.0,0.007815956348621146,0.08459190279245377
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,0.5584372862993852,0.3137780697721123,0.0021864132734135695,0.10200049589385426,0.6737302495738455,0.11529296327446033,0.41345645870714615,0.10201381262937234,0.11164375301495418,0.0,0.01345668629100084,0.08737477660179138
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,0.5684838356644402,0.3249000785751266,0.0018847486205209672,0.0932746213237839,0.6725982730630541,0.10411443739861377,0.4160065998709197,0.09333131191743436,0.11164375301495418,0.0,0.012092611709187436,0.08603861927986145
