,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,None,LightGBM,In-domain Test,0.32832494508555804,0.00298505153497716,0.1157606992238296,0.0012932487783484177,0.004638627706436169,0.0005382214143340899,0.10161288129477837,0.0011142144749889294,0.44311626569688706,0.00284860685061535,0.114791320611329,0.001445006327511009,0.21282007613195916,0.001638420158436777,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.008190779884330179,0.002949752227382388,9.358742499458413e-05,4.034534746748979e-05,0.15161922574043274,0.003487786724604048
Baseline,None,LightGBM,Shifted Test,0.3401549111214666,0.005890329428666681,0.12458421595959952,0.0036085057999370143,0.0036973438280410143,3.460068701544823e-05,0.0932746213237839,0.0,0.44423327846589483,0.005880195130781726,0.10411443739861377,0.0,0.214363183723452,0.003411205939037694,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.00948729292631372,0.0036611210109355414,0.0005407265398417147,0.0005179006907954942,0.14677436153093973,0.004054443647214472
Baseline,None,Logistic Regression,In-domain Test,0.33793874733014917,0.0023219940166704866,0.1270783512732242,0.001679288360983444,0.0030416345714490735,0.0003762897426922007,0.10161288129477837,0.0011142144749889294,0.45273006794147813,0.0029476892412320685,0.114791320611329,0.001445006327511009,0.22614222919191954,0.00255002942164844,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.013152991392123775,0.0016458373696791712,0.005523018771596813,0.0010808533478572913,0.16303469240665436,0.002670182951311099
Baseline,None,Logistic Regression,Shifted Test,0.3457452158449536,0.008121038209889539,0.13244289389059322,0.005556946203701458,0.002409594352136409,0.0001507637908567947,0.0932746213237839,0.0,0.4495230564310669,0.008169165275811454,0.10411443739861377,0.0,0.2235818236084176,0.00553632384181889,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.009339822051811433,0.0014771645481312212,0.0045715971095708595,0.00039017125955826423,0.15659556786219278,0.0014065255566349198
Feature Shift,Diagnoses,LightGBM,In-domain Test,0.3219897204155706,0.02096764704216332,0.11086444331042322,0.011895995148897113,0.004513733595534106,0.0009433720931113726,0.10161288129477837,0.0011142144749889294,0.4367810410268997,0.02020983003803166,0.114791320611329,0.001445006327511009,0.20805307013013774,0.010471639570158751,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.007350429257522081,0.0023373778085370497,0.0,0.0,0.142836794257164,0.007515538605825243
Feature Shift,Diagnoses,LightGBM,Shifted Test,0.33554073228523085,0.025613337394786752,0.12099152497862141,0.016162789247747396,0.003336270166824971,0.00015820663291639343,0.0932746213237839,0.0,0.4396454877717413,0.025608878103749393,0.10411443739861377,0.0,0.21109882986786074,0.015784371015153058,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.008553310721132577,0.004635373439168769,0.0003440987071720002,0.0004740525370394217,0.14069724082946777,0.006399192134361798
Feature Shift,Diagnoses,Logistic Regression,In-domain Test,0.5348083967162153,0.02058792285169436,0.28784818615546837,0.022550346881547726,0.0028932107233352092,0.0006263102756991167,0.10161288129477837,0.0011142144749889294,0.6495997173275443,0.020916360620654315,0.114791320611329,0.001445006327511009,0.38637390065506055,0.023470408825651073,0.1016249959389298,0.0011216122668049073,0.11145045059388577,0.0002705891590560844,0.0,0.0,0.011863936180497137,0.002078740388668436,0.08926961570978165,0.003667051958525331
Feature Shift,Diagnoses,Logistic Regression,Shifted Test,0.547990434441994,0.017808535836628992,0.30196835725476173,0.019934480718048736,0.0022365364740835054,0.00032550288727882406,0.0932746213237839,0.0,0.6520405604388635,0.01786306787042156,0.10411443739861377,0.0,0.39314048209212354,0.019883556785930564,0.09332848722571378,3.931712402665635e-06,0.11145045059388577,0.0002705891590560844,0.0,0.0,0.009733077717150863,0.0021723816343690075,0.0861000766356786,0.001539822627606452
