Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.6397569281252826,0.19942868290888782,0.2235075205926013
Baseline,None,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.6219993238438313,0.18325879366749082,0.22198555025933275
Baseline,None,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.6838405815313187,0.2274119139271969,0.2112899360267793
Baseline,None,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.6576497744203128,0.20728612459332374,0.21728723024994384
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,In-domain Test,0.6397569281252826,0.19942868290888782,0.2235075205926013
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,42,Shifted Test,0.6219993238438313,0.18325879366749082,0.22198555025933275
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,In-domain Test,0.6838405815313187,0.2274119139271969,0.2112899360267793
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,42,Shifted Test,0.6576497744203128,0.20728612459332374,0.21728723024994384
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,In-domain Test,0.6297580244431388,0.19426786293613446,0.232922159836623
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,42,Shifted Test,0.6268993576516397,0.18536614168334026,0.23000993572238426
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,In-domain Test,0.6751385090749987,0.22662281481529956,0.2238945550393384
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,42,Shifted Test,0.6455283927301554,0.2024868103826705,0.2315727860426541
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,In-domain Test,0.6200755489653352,0.18398380348605248,0.23842168796082983
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,42,Shifted Test,0.621143869711701,0.18053031941190986,0.24201049625951068
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,42,In-domain Test,0.661986182635077,0.21863828591388762,0.2319999654791145
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,42,Shifted Test,0.6541497336177853,0.19656289032525998,0.23760070017430854
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,42,In-domain Test,0.6021234430159111,0.1665790333587367,0.24418872701471797
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,42,Shifted Test,0.612584198929808,0.1725745818263455,0.25156996672645676
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,42,In-domain Test,0.6410307544863445,0.20215299015552146,0.24058489307678727
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,42,Shifted Test,0.6338852166614206,0.18280819432874323,0.2446791206074468
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,42,In-domain Test,0.6397569281252826,0.19942868290888782,0.2235075205926013
