Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,LightGBM,42,In-domain Test,0,103,0.07934727422097354,0.0
Baseline,None,LightGBM,42,In-domain Test,1,557,0.15994601203145417,0.03052064631956912
Baseline,None,LightGBM,42,In-domain Test,2,1802,0.2582553652147209,0.041620421753607105
Baseline,None,LightGBM,42,In-domain Test,3,3148,0.3524754452016181,0.0724269377382465
Baseline,None,LightGBM,42,In-domain Test,4,3496,0.4497571770843434,0.09525171624713959
Baseline,None,LightGBM,42,In-domain Test,5,3119,0.5470123830113742,0.1484450144277012
Baseline,None,LightGBM,42,In-domain Test,6,1292,0.6407834439085733,0.2089783281733746
Baseline,None,LightGBM,42,In-domain Test,7,549,0.7423428376298568,0.29143897996357016
Baseline,None,LightGBM,42,In-domain Test,8,125,0.8358324108123779,0.48
Baseline,None,LightGBM,42,In-domain Test,9,1,0.9028463959693909,0.0
Baseline,None,LightGBM,42,Shifted Test,0,44,0.07933158757673069,0.0
Baseline,None,LightGBM,42,Shifted Test,1,214,0.15349987894296646,0.018691588785046728
Baseline,None,LightGBM,42,Shifted Test,2,781,0.2590026371801098,0.06658130601792574
Baseline,None,LightGBM,42,Shifted Test,3,1470,0.35389801553722955,0.05782312925170068
Baseline,None,LightGBM,42,Shifted Test,4,1698,0.4489359956748073,0.09187279151943463
Baseline,None,LightGBM,42,Shifted Test,5,1626,0.5481138276657935,0.12238622386223862
Baseline,None,LightGBM,42,Shifted Test,6,718,0.6398778835046922,0.19080779944289694
Baseline,None,LightGBM,42,Shifted Test,7,177,0.7436930685393555,0.2655367231638418
Baseline,None,LightGBM,42,Shifted Test,8,46,0.8317598221094712,0.4782608695652174
Baseline,None,LightGBM,42,Shifted Test,9,7,0.9150604775973729,0.5714285714285714
Baseline,None,LightGBM,43,In-domain Test,0,164,0.0718503394050569,0.006097560975609756
Baseline,None,LightGBM,43,In-domain Test,1,662,0.15876191201707027,0.03625377643504532
Baseline,None,LightGBM,43,In-domain Test,2,1856,0.2568015891111231,0.05387931034482758
