Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Baseline,None,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013988770201758335,0.011246250662483564,-0.017220876750406688,0.008904297636348764,0.0015431075913631132,0.0040776897935114525,3
Baseline,None,0.0,None,0.0,None,LightGBM,In-domain Test,0.6744943718058806,0.009477718702504696,0.2237086482145476,0.01202658416107683,0.2128200762171677,0.001638420191009941,3
Baseline,None,0.0,None,0.0,None,LightGBM,Shifted Test,0.6605056016041223,0.002699693719604699,0.2064877714641409,0.0031269486618776946,0.2143631838085308,0.003411205943379852,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006870790180253532,0.010182356453679197,-0.015810627231688617,0.005866714667857995,-0.0025604056194885316,0.004317073778956794,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.6306687671520842,0.00906049491688532,0.19765189029340688,0.007583690615795764,0.2261422292194735,0.00255002938324047,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.6237979769718307,0.0016851484809843656,0.18184126306171824,0.0019909920800465514,0.223581823599985,0.0055363239099446996,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Generalization Gap (Shifted - In-domain),-0.010705674955032163,0.012132581061223578,-0.02925830134232707,0.009462299676995441,0.0030457596648687524,0.005392333394329176,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,In-domain Test,0.6683077298480323,0.01702405766120604,0.22318270830524775,0.016408538768954106,0.20805307014307184,0.010471639572315571,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Shifted Test,0.6576020548930002,0.004930953389338417,0.19392440696292068,0.007061045440285032,0.2110988298079406,0.015784370868054794,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.004809346661054777,0.016719082650557264,-0.022622726809117106,0.00841772908986198,0.006766581325233574,0.004520375293284136,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,In-domain Test,0.6365215372904629,0.01839897738395081,0.19996538469335326,0.00930445702215553,0.38637390063443716,0.023470408764169327,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Shifted Test,0.6317121906294081,0.0020954731438280966,0.17734265788423617,0.0016669572013360548,0.3931404819596707,0.019883556820040074,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Generalization Gap (Shifted - In-domain),-0.014575693874002186,0.008581097891761208,-0.015246757816327283,0.007315557520652373,-0.0020533311902437477,0.00800717228568984,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,In-domain Test,0.6696658286000617,0.00684564897178108,0.21960149175024393,0.010240955666743606,0.1927880589655658,0.010977961610493504,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Shifted Test,0.6550901347260596,0.0032134855994115576,0.20435473393391665,0.0032704887046325353,0.19073472777532205,0.006664250119449257,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.008848279293821482,0.008399624559827765,-0.017883244693814294,0.005201819383801543,0.0015281508013856675,0.006043907177389788,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,In-domain Test,0.6302821189670904,0.007595248935906077,0.19776395009671885,0.007081742400243252,0.4119515017773316,0.01902448612393356,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Shifted Test,0.6214338396732689,0.0011253393603889931,0.17988070540290454,0.002042366434944053,0.4134796525787172,0.023882614576878864,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013988770201758335,0.011246250662483564,-0.017220876750406688,0.008904297636348764,0.0015431075913631132,0.0040776897935114525,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,In-domain Test,0.6744943718058806,0.009477718702504696,0.2237086482145476,0.01202658416107683,0.2128200762171677,0.001638420191009941,3
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,Shifted Test,0.6605056016041223,0.002699693719604699,0.2064877714641409,0.0031269486618776946,0.2143631838085308,0.003411205943379852,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006870790180253532,0.010182356453679197,-0.015810627231688617,0.005866714667857995,-0.0025604056194885316,0.004317073778956794,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.6306687671520842,0.00906049491688532,0.19765189029340688,0.007583690615795764,0.2261422292194735,0.00255002938324047,3
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.6237979769718307,0.0016851484809843656,0.18184126306171824,0.0019909920800465514,0.223581823599985,0.0055363239099446996,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.011774195555067793,0.01765648889056178,-0.026391529640965278,0.01328268546548544,0.01707614291865327,0.02086681522805928,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,In-domain Test,0.6547132987543746,0.010198136090680756,0.2160697303301591,0.004514802816152713,0.23288623858283766,0.0008360978475397922,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Shifted Test,0.6429391031993067,0.013446621687721679,0.18967820068919383,0.010643813678562918,0.24996238150149094,0.021530133645379146,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.009026303137362376,0.008215926060514661,-0.0034742249683790416,0.004438964800895192,0.00982336383395313,0.008136085495734498,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,In-domain Test,0.6146206656234454,0.004908184782579247,0.1850045605028292,0.003457597423323497,0.2399772750250259,0.0014542387167731199,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,Shifted Test,0.6236469687608078,0.006195920141263253,0.1815303355344502,0.007829653990931558,0.24980063885897905,0.009461748259077082,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.01690443048758024,0.022893451627635453,-0.025050011626672874,0.01194651702293125,0.025501641342585164,0.0421338775550676,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,In-domain Test,0.6339074654184297,0.008433491968929584,0.19767245289094681,0.004589616184367114,0.24094623155478678,0.0003727889474782922,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,Shifted Test,0.6170030349308494,0.021326255884536485,0.17262244126427395,0.012198585561658853,0.266447872897372,0.042453937804723146,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.012105868990479681,0.0014251855309930623,0.0007401191462111286,0.004897123248658002,0.01587033499110844,0.010458916274912902,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,In-domain Test,0.5947063655502198,0.007837090451534025,0.16906683285221866,0.006041644314774263,0.24536000633302837,0.0010258912903132887,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,Shifted Test,0.6068122345406995,0.006694591970276019,0.16980695199842977,0.004524007870685425,0.2612303413241368,0.01129771445920478,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.014145809297103148,0.01627308612701523,-0.01789065027534854,0.011169575049008524,0.0032319010649558,0.004075539248300177,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,In-domain Test,0.6659849540761283,0.010268303328850353,0.22053248413910564,0.0078850235772968,0.2253127049475244,0.0013134328622231288,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,Shifted Test,0.6518391447790252,0.006103608422389258,0.20264183386375711,0.0039137527996054786,0.22854460601248017,0.003181189055878138,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.005118547592236696,0.006909153143748109,-0.007979794562016094,0.003169002434119402,0.0008828770418137603,0.010000244517983307,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,In-domain Test,0.6238829562723456,0.005231576912806877,0.1933262717942137,0.005248857500606197,0.23473631156989047,0.0018505484960328956,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,Shifted Test,0.6290015038645823,0.002245502546173926,0.18534647723219763,0.002118421190744848,0.2356191886117042,0.011499025987763698,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013988770201758335,0.011246250662483564,-0.017220876750406688,0.008904297636348764,0.0015431075913631132,0.0040776897935114525,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,In-domain Test,0.6744943718058806,0.009477718702504696,0.2237086482145476,0.01202658416107683,0.2128200762171677,0.001638420191009941,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,Shifted Test,0.6605056016041223,0.002699693719604699,0.2064877714641409,0.0031269486618776946,0.2143631838085308,0.003411205943379852,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006870790180253532,0.010182356453679197,-0.015810627231688617,0.005866714667857995,-0.0025604056194885316,0.004317073778956794,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,In-domain Test,0.6306687671520842,0.00906049491688532,0.19765189029340688,0.007583690615795764,0.2261422292194735,0.00255002938324047,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,Shifted Test,0.6237979769718307,0.0016851484809843656,0.18184126306171824,0.0019909920800465514,0.223581823599985,0.0055363239099446996,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013132716988913015,0.01193450715283682,-0.016631269920162506,0.007063698257565684,0.0023208556365870714,0.004262018777319296,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,In-domain Test,0.6733952909677813,0.009803064809250384,0.22090025607802544,0.008698779437702754,0.21274838787384331,0.001378409594102817,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,Shifted Test,0.6602625739788682,0.004852152339765717,0.20426898615786293,0.0026535525250961944,0.2150692435104304,0.004013620155494866,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.007126118988839784,0.008712966000821248,-0.015746035764570388,0.005425561319629685,-0.003543779002188783,0.003463488042942202,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,In-domain Test,0.6311742737431114,0.008601761733221282,0.1977100883734013,0.007538599354651663,0.22582824880866062,0.003451058809003952,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,Shifted Test,0.6240481547542717,0.0018609307759552072,0.1819640526088309,0.002469538313357686,0.22228446980647187,0.005513802766315367,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.012173999345788408,0.007888104574187852,-0.020846560346905324,0.011664353005537604,0.0008702842848140879,0.004068640179042076,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,In-domain Test,0.6731225998190977,0.008930784743320812,0.22440242499968485,0.011021640138623823,0.21249720145770676,0.0019249027462581625,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,Shifted Test,0.6609486004733093,0.0031604735064161213,0.20355586465277953,0.0007573598706460027,0.21336748574252085,0.0040101801636327605,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.00829999498840702,0.009298490160928832,-0.01694885715498612,0.006470901434165388,-0.0037200513996119657,0.002811360034983244,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,In-domain Test,0.6314480848472303,0.009884270930567094,0.19831570987084657,0.00830813934137451,0.22583613518772946,0.00459831843327543,3
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,Shifted Test,0.6231480898588232,0.001713743884855958,0.18136685271586048,0.0025288712986620736,0.2221160837881175,0.006324079132053421,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013988770201758335,0.011246250662483564,-0.017220876750406688,0.008904297636348764,0.0015431075913631132,0.0040776897935114525,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,LightGBM,In-domain Test,0.6744943718058806,0.009477718702504696,0.2237086482145476,0.01202658416107683,0.2128200762171677,0.001638420191009941,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,LightGBM,Shifted Test,0.6605056016041223,0.002699693719604699,0.2064877714641409,0.0031269486618776946,0.2143631838085308,0.003411205943379852,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006870790180253532,0.010182356453679197,-0.015810627231688617,0.005866714667857995,-0.0025604056194885316,0.004317073778956794,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,In-domain Test,0.6306687671520842,0.00906049491688532,0.19765189029340688,0.007583690615795764,0.2261422292194735,0.00255002938324047,3
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,Shifted Test,0.6237979769718307,0.0016851484809843656,0.18184126306171824,0.0019909920800465514,0.223581823599985,0.0055363239099446996,3
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.013112086447107707,0.006292353891962497,-0.019089931368025826,0.012555829485154433,0.0021793127686862237,0.0033485466025847985,3
