Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Baseline,None,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.017485547674887563,0.014675221020485935,-0.02332047265218003,0.017103174569838762,-0.0023664467932450286,0.0027273694296589706,3
Baseline,None,0.0,None,0.0,None,LightGBM,In-domain Test,0.6759952062160224,0.010998260538264814,0.22595112924434765,0.01298141072335647,0.2131272947595395,0.0016009554515698386,3
Baseline,None,0.0,None,0.0,None,LightGBM,Shifted Test,0.6585096585411347,0.005895028655279582,0.2026306565921676,0.005373688328377918,0.21076084796629446,0.0043217789070164915,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.02084672060333907,0.015541599445865755,-0.023384729100073387,0.01108602305207558,-0.014557401786268243,0.014261082095147072,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.6561103632198303,0.01009018402732602,0.21597255541735552,0.011975197240934111,0.22030438063742822,0.002615232861800383,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.6352636426164912,0.005807826421900049,0.19258782631728213,0.002421157005580616,0.20574697885116,0.014314863220911257,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Generalization Gap (Shifted - In-domain),-0.014645070477935137,0.020286695807378782,-0.03198737343312843,0.013912656885221295,-0.0017923707503288329,0.003702413347915779,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,In-domain Test,0.6689824180027761,0.017433260204090067,0.22436398271325061,0.016200019271952172,0.21640184204963997,0.0027971764952832863,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Shifted Test,0.654337347524841,0.006796620630695082,0.19237660928012215,0.0031695094448472793,0.21460947129931116,0.0038210721381496788,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.029605279426987208,0.023099903319460068,-0.034626709736427286,0.01485428776002831,-0.012598902927606423,0.02038640430764182,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,In-domain Test,0.6653731635633532,0.015297048667556712,0.21919931431038064,0.013095322375227219,0.3453388069624232,0.02299147872128609,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Shifted Test,0.635767884136366,0.00828220888700867,0.18457260457395339,0.002195357158506926,0.33273990403481674,0.0031011826536582274,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Generalization Gap (Shifted - In-domain),-0.014335946150852577,0.010614066000244842,-0.020821844208713913,0.014770125149908104,-0.0021401566642626304,0.0019437989675006883,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,In-domain Test,0.6710971581024957,0.007079983562700454,0.22177125520033283,0.010280797811505631,0.18478263158888283,0.03192681507659501,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Shifted Test,0.6567612119516432,0.00592977353819743,0.20094941099161892,0.006238744259566332,0.18264247492462019,0.033012516254702834,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.023191992819695972,0.014129674429826608,-0.02572430947799073,0.010551834168485357,-0.016973393434339068,0.019931810168878024,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,In-domain Test,0.6557856734796865,0.008879125724463598,0.2163269428110984,0.011499865681015655,0.4255927453343324,0.023490794389588763,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Shifted Test,0.6325936806599906,0.005507159643369325,0.19060263333310767,0.002775991724023956,0.40861935189999327,0.01390204147022215,3
