Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Baseline,None,0.0,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),-0.01485830077914844,0.009652350848935188,-0.018740263363013043,0.01165539883471965,-0.0003886103300985803,0.0027872657085923156,3
Baseline,None,0.0,None,0.0,None,LightGBM,In-domain Test,0.6727911670206916,0.011567786701083849,0.22332549620311215,0.012107796100304654,0.21305950249180036,0.0018189026044987378,3
Baseline,None,0.0,None,0.0,None,LightGBM,Shifted Test,0.6579328662415431,0.0036381669737047587,0.2045852328400991,0.0005421566589925317,0.21267089216170176,0.003231104974415075,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.006803129422104222,0.01010987532153962,-0.015771583599915855,0.005829852360546714,-0.009059603228393165,0.00021891763375738558,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,In-domain Test,0.6306397327865642,0.009022579904979535,0.1976383877373428,0.007565055532953135,0.22615884509920126,0.0025559045116229848,3
Baseline,None,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.6238366033644599,0.001693023643373671,0.18186680413742695,0.002002803804409111,0.2170992418708081,0.0024437730323805164,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Generalization Gap (Shifted - In-domain),-0.00855918937768337,0.010819598957383759,-0.02505743662270075,0.014436098428419215,0.0005399585839404123,0.004832511711242847,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,In-domain Test,0.6663011775099769,0.015316939252045737,0.22206529370466557,0.013755296028154378,0.21162546151467998,0.0009474745683869726,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,Shifted Test,0.6577419881322935,0.006060649273933157,0.1970078570819648,0.001232094773878878,0.21216542009862038,0.0057377795963208765,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.004965727508233098,0.016815854042658604,-0.022647282251722845,0.00842315685147413,-0.003095765547015313,0.002840977715646645,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,In-domain Test,0.6365258995783202,0.018395131355845563,0.19998558257876245,0.00932622314597858,0.38491129471579644,0.024450468078937745,3
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,Shifted Test,0.6315601720700871,0.0020748471061034024,0.1773383003270396,0.001627169433060144,0.3818155291687812,0.027200947287487523,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Generalization Gap (Shifted - In-domain),-0.014211318148635743,0.007047462481591359,-0.017181245700089064,0.009711883135443885,-0.0027895792030815936,0.004510494609847977,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,In-domain Test,0.6699233222522043,0.00796099642681805,0.21907198264354488,0.010014643448732841,0.19855046866428108,0.015852443078436924,3
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,Shifted Test,0.6557120041035684,0.004083359900980123,0.2018907369434558,0.001083060755606118,0.19576088946119952,0.011817718080530988,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Generalization Gap (Shifted - In-domain),-0.008765000564719702,0.008325580200269968,-0.017860163989835597,0.005148626235437289,-0.007742797385444385,0.0022693102858249684,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,In-domain Test,0.6302393318890144,0.007549234538990202,0.197761784722452,0.007053218406474206,0.40914864397303186,0.01824098186793675,3
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,Shifted Test,0.6214743313242946,0.0011166501005839917,0.17990162073261642,0.0020673456896450346,0.40140584658758754,0.01999458556396199,3
