Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Baseline,None,LightGBM,42,In-domain Test,0.00847415309575236,0.00014049543379314147,0.004848920748897307,0.1003566286610174,0.11100934790654723,0.11316234498308907,0.09518368053484103,0.10036071364647352,0.11114121028789863,0.5391065388951521,0.0,0.06843529641628265
Baseline,None,LightGBM,42,Shifted Test,0.01468723703023607,0.0005627087411082518,0.003705130522452236,0.0932746213237839,0.11810523540588048,0.10411443739861377,0.08961516914863941,0.09332399686102151,0.11114121028789863,0.46910485179177114,0.0,0.07030919194221497
Baseline,None,LightGBM,43,In-domain Test,0.0074893723913388175,8.459842010710341e-05,0.003708886568854655,0.10200049589385426,0.11090203593649546,0.11529296327446033,0.09774616548263461,0.10201381262937234,0.11164375301495418,0.5527754415475189,0.0,0.07006441056728363
Baseline,None,LightGBM,43,Shifted Test,0.008372385334044956,0.00023685502447646508,0.003397794893458398,0.0932746213237839,0.11226614928519901,0.10411443739861377,0.08981751958597328,0.09333131191743436,0.11164375301495418,0.53871110455685,0.0,0.06948325037956238
Baseline,None,LightGBM,44,In-domain Test,0.0030795773254840707,6.40666034792935e-05,0.004639348786330143,0.10248151932946344,0.11356867679902895,0.11591865357643759,0.09728138488562926,0.10250046154094353,0.1115663884788045,0.5279102384291725,0.0,0.07097062468528748
Baseline,None,LightGBM,44,Shifted Test,0.012495183762365645,0.0002990368717614138,0.0037485916779078426,0.0932746213237839,0.11636727452942877,0.10411443739861377,0.08966792536766019,0.09333015289868547,0.1115663884788045,0.4955021383276803,0.0,0.07154086232185364
Baseline,None,Logistic Regression,42,In-domain Test,0.009011736040892388,0.0003332833681298298,0.0031944884543888986,0.1003566286610174,0.11077710681022937,0.11316234498308907,0.09735896725830934,0.10036071364647352,0.11114121028789863,0.5543968432919955,7.046223224351747e-05,0.07281655818223953
Baseline,None,Logistic Regression,42,Shifted Test,0.013368823790785155,0.0005907773617718487,0.002697357922166603,0.0932746213237839,0.10829323682304466,0.10411443739861377,0.09104888046903423,0.09332399686102151,0.11114121028789863,0.5597994396106769,0.0002949417490045716,0.07078017294406891
Baseline,None,Logistic Regression,43,In-domain Test,0.016414799202341377,0.0006134408306356654,0.002421152691449663,0.10200049589385426,0.11196159186879659,0.11529296327446033,0.09983787296764597,0.10201381262937234,0.11164375301495418,0.5477291841883936,0.00014017381553125876,0.07492103427648544
Baseline,None,Logistic Regression,43,Shifted Test,0.008382794241778154,0.0008174467485384913,0.0025980994930874515,0.0932746213237839,0.1081668020563513,0.10411443739861377,0.09135244450729578,0.09333131191743436,0.11164375301495418,0.5661406872142751,0.0002949417490045716,0.07283329963684082
Baseline,None,Logistic Regression,44,In-domain Test,0.012647602294485496,0.0005853580412386339,0.0033903641098577213,0.10248151932946344,0.11425886430975499,0.11591865357643759,0.09935399099287548,0.10250046154094353,0.1115663884788045,0.5327489481065919,0.0003506311360448808,0.07744059711694717
Baseline,None,Logistic Regression,44,Shifted Test,0.010244656093992685,0.0007735177492676678,0.00266399636168091,0.0932746213237839,0.11359300142823782,0.10411443739861377,0.09119548002584033,0.09333015289868547,0.1115663884788045,0.5247013714791329,0.0,0.0728837102651596
