Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Baseline,None,LightGBM,42,In-domain Test,0,7651,0.06722357416888956,0.06273689713762907
Baseline,None,LightGBM,42,In-domain Test,1,5311,0.13536251424295354,0.14742986254942572
Baseline,None,LightGBM,42,In-domain Test,2,889,0.23764662313850177,0.2283464566929134
Baseline,None,LightGBM,42,In-domain Test,3,228,0.33877342207389965,0.3815789473684211
Baseline,None,LightGBM,42,In-domain Test,4,82,0.44306920105364267,0.43902439024390244
Baseline,None,LightGBM,42,In-domain Test,5,23,0.5408299565315247,0.6086956521739131
Baseline,None,LightGBM,42,In-domain Test,6,8,0.6159793362021446,0.375
Baseline,None,LightGBM,42,In-domain Test,7,0,,
Baseline,None,LightGBM,42,In-domain Test,8,0,,
Baseline,None,LightGBM,42,In-domain Test,9,0,,
Baseline,None,LightGBM,42,Shifted Test,0,3181,0.06875864976032729,0.06004401131719585
Baseline,None,LightGBM,42,Shifted Test,1,2942,0.13581277744086076,0.11964649898028552
Baseline,None,LightGBM,42,Shifted Test,2,479,0.23450388456062882,0.22964509394572025
Baseline,None,LightGBM,42,Shifted Test,3,119,0.3395054059870103,0.2184873949579832
Baseline,None,LightGBM,42,Shifted Test,4,34,0.43634357960785136,0.29411764705882354
Baseline,None,LightGBM,42,Shifted Test,5,16,0.5399202182888985,0.6875
Baseline,None,LightGBM,42,Shifted Test,6,10,0.6386235952377319,0.6
Baseline,None,LightGBM,42,Shifted Test,7,0,,
Baseline,None,LightGBM,42,Shifted Test,8,0,,
Baseline,None,LightGBM,42,Shifted Test,9,0,,
Baseline,None,LightGBM,43,In-domain Test,0,7887,0.06654022113553858,0.07163687080005071
Baseline,None,LightGBM,43,In-domain Test,1,5052,0.1362714207512183,0.1450910530482977
Baseline,None,LightGBM,43,In-domain Test,2,946,0.2380572794513269,0.22727272727272727
Baseline,None,LightGBM,43,In-domain Test,3,267,0.3370996615413423,0.30711610486891383
Baseline,None,LightGBM,43,In-domain Test,4,90,0.4385971923669179,0.4222222222222222
Baseline,None,LightGBM,43,In-domain Test,5,21,0.5309574093137469,0.42857142857142855
Baseline,None,LightGBM,43,In-domain Test,6,5,0.6545316219329834,0.6
Baseline,None,LightGBM,43,In-domain Test,7,0,,
Baseline,None,LightGBM,43,In-domain Test,8,0,,
Baseline,None,LightGBM,43,In-domain Test,9,0,,
Baseline,None,LightGBM,43,Shifted Test,0,3653,0.06710515111045391,0.06214070626882015
Baseline,None,LightGBM,43,Shifted Test,1,2474,0.1366323211961392,0.13096200485044462
Baseline,None,LightGBM,43,Shifted Test,2,495,0.23583055433600839,0.2080808080808081
Baseline,None,LightGBM,43,Shifted Test,3,103,0.3434811434120808,0.27184466019417475
Baseline,None,LightGBM,43,Shifted Test,4,44,0.4387190179391341,0.4090909090909091
