condition,model,set,Brier,constant_baseline_Brier,ECE,reliability,resolution,uncertainty,mean_pred,prevalence
Clean,Logistic Regression,ID,0.15641874172101988,0.2480774686563737,0.026638227517173166,0.0009471819718248666,0.09213087999068224,0.2480774684950082,0.4827915457157899,0.45615331819861665
Clean,Logistic Regression,SH,0.1507954818844981,0.2477227732526549,0.011387828572521934,0.00024220913635916665,0.09653608389606445,0.2477063010303208,0.4606892236684892,0.45210742260350606
Clean,LightGBM,ID,0.12353067774652245,0.2480774686563737,0.020202886666791167,0.0006645467755020334,0.12452081200252087,0.2480774684950082,0.4763562048654079,0.45615331819861665
Clean,LightGBM,SH,0.1193937530359178,0.2477227732526549,0.011008845582862631,0.00020122619840476667,0.12762906833522503,0.2477063010303208,0.4546334743137696,0.45210742260350606
Noise 5\%,Logistic Regression,ID,0.1593987945483958,0.2480774686563737,0.032967827713069574,0.0020060635333199,0.08993542036002017,0.2480774684950082,0.48761438218554015,0.45615331819861665
Noise 5\%,Logistic Regression,SH,0.1539109786638167,0.2477227732526549,0.031711320177684535,0.0014800977280574334,0.09459212528587936,0.2477063010303208,0.4682652201702388,0.45210742260350606
Noise 5\%,LightGBM,ID,0.1249603979690616,0.2480774686563737,0.03615565463772096,0.0017707342287292,0.12414474502762747,0.2480774684950082,0.48265096933385215,0.45615331819861665
Noise 5\%,LightGBM,SH,0.12084065365836259,0.2477227732526549,0.03410502828671347,0.0014432906885017,0.12750772445544364,0.2477063010303208,0.46334817310453885,0.45210742260350606
Noise 10\%,Logistic Regression,ID,0.1632473054984989,0.2480774686563737,0.05738337372262196,0.005197936421931199,0.08919407285766594,0.2480774684950082,0.49133731814450216,0.45615331819861665
Noise 10\%,Logistic Regression,SH,0.1580728177841887,0.2477227732526549,0.05984327599175463,0.004990675503668066,0.09367145300324864,0.2477063010303208,0.47443755229781853,0.45210742260350606
Noise 10\%,LightGBM,ID,0.12917728485348579,0.2480774686563737,0.06523029806411337,0.0056469835867239,0.12357437083080723,0.2480774684950082,0.4876533922193757,0.45615331819861665
Noise 10\%,LightGBM,SH,0.1253915645682139,0.2477227732526549,0.0663941711689394,0.005501189703071701,0.12670590562497516,0.2477063010303208,0.47061672422970063,0.45210742260350606
Noise 20\%,Logistic Regression,ID,0.1756811909047181,0.2480774686563737,0.1057480936730391,0.0165489264000998,0.0873855787485577,0.2480774684950082,0.49625416712242104,0.45615331819861665
Noise 20\%,Logistic Regression,SH,0.1714041009155607,0.2477227732526549,0.1126010210140585,0.017279102383024967,0.09215472984627023,0.2477063010303208,0.4839823337105207,0.45210742260350606
Noise 20\%,LightGBM,ID,0.14525073547310283,0.2480774686563737,0.12786007406192954,0.020613646732329665,0.12197877491469067,0.2480774684950082,0.4943451168193779,0.45615331819861665
Noise 20\%,LightGBM,SH,0.14212196610280545,0.2477227732526549,0.1319804842823549,0.021072978566773367,0.12494304079320186,0.2477063010303208,0.4817908801906987,0.45210742260350606
