condition,model,set,Brier,constant_baseline_Brier,ECE,reliability,resolution,uncertainty,mean_pred,prevalence
Clean,Logistic Regression,ID,0.2261422291919195,0.10162499593892976,0.3379387473301491,0.12707835127322412,0.0030416345714490336,0.10161288129477834,0.4527300679414781,0.11479132061132892
Clean,Logistic Regression,SH,0.22358182360841758,0.09332848722571374,0.3457452158449536,0.13244289389059316,0.0024095943521363667,0.0932746213237839,0.4495230564310669,0.1041144373986137
Clean,LightGBM,ID,0.2128200761319591,0.10162499593892976,0.32832494508555804,0.11576069922382957,0.004638627706436134,0.10161288129477834,0.443116265696887,0.11479132061132892
Clean,LightGBM,SH,0.21436318372345198,0.09332848722571374,0.34015491112146656,0.1245842159595995,0.0036973438280409666,0.0932746213237839,0.4442332784658947,0.1041144373986137
Noise 5\%,Logistic Regression,ID,0.23473631153342459,0.10162499593892976,0.35857515280983526,0.13560079026440708,0.002720959489564233,0.10161288129477834,0.4733664734211642,0.11479132061132892
Noise 5\%,Logistic Regression,SH,0.2356191884952251,0.09332848722571374,0.3712728681281859,0.14492263608339495,0.0028214858550630662,0.0932746213237839,0.47538730552679964,0.1041144373986137
Noise 5\%,LightGBM,ID,0.22531270497354858,0.10162499593892976,0.3543772262914793,0.12801833757785006,0.004223568811407033,0.10161288129477834,0.46916854690280824,0.11479132061132892
Noise 5\%,LightGBM,SH,0.22854460594331724,0.09332848722571374,0.36804226546738344,0.1385968799250763,0.0032449104952920666,0.0932746213237839,0.4721201794496775,0.1041144373986137
Noise 10\%,Logistic Regression,ID,0.2399772749581877,0.10162499593892976,0.3688394984777324,0.14043045733063292,0.0022163658180421666,0.10161288129477834,0.4836308190890614,0.11479132061132892
Noise 10\%,Logistic Regression,SH,0.24980063875849443,0.09332848722571374,0.39294436141882993,0.1589067907603964,0.0025536725193229665,0.0932746213237839,0.4970587988174437,0.1041144373986137
Noise 10\%,LightGBM,ID,0.23288623863321914,0.10162499593892976,0.3663353072144511,0.13531119640881747,0.003740997378759267,0.10161288129477834,0.48112662782578025,0.11479132061132892
Noise 10\%,LightGBM,SH,0.24996238152690356,0.09332848722571374,0.3951758414082797,0.1594302732222441,0.002747734766794567,0.0932746213237839,0.49927275659422055,0.1041144373986137
Noise 20\%,Logistic Regression,ID,0.2453600063156511,0.10162499593892976,0.3776337562271421,0.14509512500338806,0.001454954389630167,0.10161288129477834,0.4923911150634905,0.11479132061132892
Noise 20\%,Logistic Regression,SH,0.26123034122493083,0.09332848722571374,0.4090537538374998,0.1697553257823662,0.0017490247270128666,0.0932746213237839,0.5131245599585795,0.1041144373986137
Noise 20\%,LightGBM,ID,0.24094623159678266,0.10162499593892976,0.37655869189517577,0.14234322084629933,0.0027231846617871334,0.10161288129477834,0.4913293451295562,0.11479132061132892
Noise 20\%,LightGBM,SH,0.26644787288135596,0.09332848722571374,0.4152743249929438,0.17530174221836833,0.0020740696275399003,0.0932746213237839,0.5193887623915575,0.1041144373986137
