dataset,model,stressor,dAUROC_ID,dAUROC_SH,gap,dgap,dgap_sd,dBrier_ID,dBrier_SH
Diabetes,Logistic Regression,Label noise 20\%,-0.03596240160186437,-0.016985742431131157,0.012105868990479635,0.018976659170733167,0.008863591650616674,0.019217777113554834,0.03764851772415187
Diabetes,Logistic Regression,Missingness 20\% MCAR,-0.0002315729241988048,-0.001981837046363344,-0.008621054302418,-0.0017502641221644666,0.0028163291313450375,-0.001437906328770398,-0.006555563566734544
Diabetes,Logistic Regression,Feature shift (Diagnoses),0.005852770138378667,0.007914213657577421,-0.004809346661054766,0.0020614435191987665,0.008141507519327417,0.16023167141496367,0.16955865835968578
Diabetes,LightGBM,Label noise 20\%,-0.040586906387450994,-0.0435025666732729,-0.0169044304875802,-0.0029156602858219013,0.025796166004298075,0.02812615533761903,0.05208468908884115
Diabetes,LightGBM,Missingness 20\% MCAR,-0.0005240172577238485,-0.0024083983259306496,-0.015873151269965097,-0.0018843810682068005,0.0019937616195361955,-0.002117424270811241,-0.0037334487220682757
Diabetes,LightGBM,Feature shift (Diagnoses),-0.006186641957848275,-0.0029035467111221034,-0.010705674955032168,0.003283095246726132,0.004738789717358322,-0.004767006074095942,-0.003264354000590238
ACSEmployment,Logistic Regression,Label noise 20\%,-0.006002752506215773,-0.005960654294430563,0.010873371960419667,4.209821178523312e-05,0.0005305735977131675,0.019262449229713725,0.020608619108018828
ACSEmployment,Logistic Regression,Missingness 20\% MCAR,-0.0011183985326979802,-0.0017007115192083644,0.010248960762124067,-0.0005823129865103668,0.00031911137881681967,0.0007431811626914716,0.0012197679686030323
ACSEmployment,Logistic Regression,Feature shift (Disability),-0.011704588116819478,-0.011751327475788812,0.010784534389665134,-4.673935896929981e-05,0.0006534460363264865,0.00954590632909936,0.008925620879827132
ACSEmployment,LightGBM,Label noise 20\%,-0.002690044950488154,-0.002658260799807651,0.007117468115692901,3.1784150680400136e-05,0.000267675877261111,0.021720057718213993,0.02272821311709444
ACSEmployment,LightGBM,Missingness 20\% MCAR,-0.0015807551745944763,-0.0019228200481868167,0.006743619091420167,-0.0003420648735923332,0.0003380744567257502,0.001045740228913632,0.0012562312410339717
ACSEmployment,LightGBM,Feature shift (Disability),-0.009799246429056052,-0.010571908725129512,0.006313021668938966,-0.0007726622960735332,0.0006464686850924827,0.00799622610001787,0.008123022124031232
