model,scenario,rate,dAUROC_ID,dAUROC_SH,gap,dBrier_ID,dBrier_SH
Logistic Regression,MCAR,0.1,-0.0004884450845462999,-0.0013031161473087878,-0.007685461243016001,-0.0003479054335638332,-0.002138550374802539
Logistic Regression,MCAR,0.2,-0.0002315729241988048,-0.001981837046363344,-0.008621054302418,-0.001437906328770398,-0.006555563566734544
Logistic Regression,MAR_Female,0.1,-0.00019670547546916475,-5.4947403599199994e-05,-0.006729032108383534,0.0004966360637971105,1.2396282665971814e-05
Logistic Regression,MAR_Female,0.2,0.0006678840125986888,-0.0009067487380362005,-0.008445422930888366,0.0009524446523757982,0.00015927692245632877
Logistic Regression,MAR_Age_Older,0.1,0.000505506591027142,0.00025017778244088945,-0.007126118988839768,-0.00031398041081286593,-0.001297353793513099
Logistic Regression,MAR_Age_Older,0.2,0.0007793176951460165,-0.0006498871130074709,-0.008299994988407033,-0.0003060940317440586,-0.0014657398118674652
LightGBM,MCAR,0.1,-0.0017834549781376257,-0.002226768789563923,-0.014432084013184632,-0.0007247488064667055,-0.006343100501901576
LightGBM,MCAR,0.2,-0.0005240172577238485,-0.0024083983259306496,-0.015873151269965097,-0.002117424270811241,-0.0037334487220682757
LightGBM,MAR_Female,0.1,-0.00032441183106413085,0.0005522719235864967,-0.013112086447107665,-7.632644230834429e-05,0.0005598787350148219
LightGBM,MAR_Female,0.2,-0.0007098357129096122,0.0024828143640439246,-0.010796120124804734,-2.646071174287427e-05,0.0013652233717459938
LightGBM,MAR_Age_Older,0.1,-0.0010990808380993977,-0.0002430276252540775,-0.013132716988912933,-7.168834332440162e-05,0.0007060597018995937
LightGBM,MAR_Age_Older,0.2,-0.0013717719867829918,0.0004429988691869354,-0.012173999345788333,-0.00032287475946101335,-0.0009956980660100017
