dataset,stressor,model,metric,n_obs,n_distinct_conditions,n_distinct_nonclean,n_seeds,spearman,pearson,n_obs_delta,spearman_delta,pearson_delta,range_ID
ACSEmployment,Label Noise,Logistic Regression,AUROC,12,4,3,3,0.9440559440559443,0.9872711088515035,9,0.9666666666666667,0.9445975739343678,0.007000467761929641
ACSEmployment,Label Noise,Logistic Regression,AUPRC,12,4,3,3,0.7692307692307694,0.7909603620476209,9,0.9,0.9478071048194963,0.004852419264621877
ACSEmployment,Label Noise,Logistic Regression,Brier Score,12,4,3,3,0.9440559440559443,0.9995856630642344,9,0.9833333333333333,0.9993828411158492,0.019812280491919382
ACSEmployment,Label Noise,LightGBM,AUROC,12,4,3,3,0.7062937062937064,0.6967650952514803,9,0.9,0.9731215343382742,0.005036595492147078
ACSEmployment,Label Noise,LightGBM,AUPRC,12,4,3,3,0.8811188811188813,0.7814213328661332,9,0.8166666666666667,0.8252363982648441,0.008031150384370522
ACSEmployment,Label Noise,LightGBM,Brier Score,12,4,3,3,0.9370629370629372,0.9982122555642308,9,0.9666666666666667,0.99979153359592,0.022867901631257098
ACSEmployment,Missingness,Logistic Regression,AUROC,18,5,4,3,0.7308488612836439,0.6198230230945532,12,0.9440559440559443,0.9050280886072185,0.002931466435397323
ACSEmployment,Missingness,Logistic Regression,AUPRC,18,5,4,3,0.8322981366459627,0.9605328054235946,12,0.9720279720279721,0.9967913491335278,0.008882496360463343
ACSEmployment,Missingness,Logistic Regression,Brier Score,18,5,4,3,0.7080745341614907,0.6466099123041803,12,0.8671328671328673,0.8525371955407275,0.0017180844524649075
ACSEmployment,Missingness,LightGBM,AUROC,18,5,4,3,0.7060041407867494,0.5603370734433746,12,0.8041958041958043,0.9661949540730972,0.003987814644428989
ACSEmployment,Missingness,LightGBM,AUPRC,18,5,4,3,0.8488612836438922,0.8453166495306359,12,0.8251748251748254,0.9819279551527468,0.005372590556126267
ACSEmployment,Missingness,LightGBM,Brier Score,18,5,4,3,0.6335403726708075,0.5239601256901859,12,0.7482517482517484,0.9682493540247621,0.002611156268175596
ACSEmployment,Feature Shift,Logistic Regression,AUROC,9,3,3,3,0.9833333333333333,0.9900163150697403,9,0.8833333333333333,0.9947774185804654,0.01261523138110765
ACSEmployment,Feature Shift,Logistic Regression,AUPRC,9,3,3,3,0.9166666666666666,0.9960436576198177,9,0.9166666666666666,0.996590902411491,0.022641621565453907
ACSEmployment,Feature Shift,Logistic Regression,Brier Score,9,3,3,3,0.9833333333333333,0.9941693366512501,9,0.8499999999999999,0.9959384208804228,0.010322563731917589
ACSEmployment,Feature Shift,LightGBM,AUROC,9,3,3,3,0.9666666666666667,0.9158038633660777,9,0.9166666666666666,0.958137172117441,0.008211935954118399
ACSEmployment,Feature Shift,LightGBM,AUPRC,9,3,3,3,0.9500000000000001,0.9074493464240438,9,0.8499999999999999,0.91884447143347,0.00959789596615268
ACSEmployment,Feature Shift,LightGBM,Brier Score,9,3,3,3,0.8833333333333333,0.9733850001133633,9,0.9166666666666666,0.9913874087309171,0.007343519141967181
