dataset,stressor,model,metric,n_obs,n_distinct_conditions,n_distinct_nonclean,n_seeds,spearman,pearson,n_obs_delta,spearman_delta,pearson_delta,range_ID
Diabetes,Label Noise,Logistic Regression,AUROC,12,4,3,3,0.6083916083916086,0.7825463553688341,9,0.75,0.836086582704348,0.053249113350929744
Diabetes,Label Noise,Logistic Regression,AUPRC,12,4,3,3,0.7482517482517484,0.8287501415619614,9,0.7,0.7626122935579298,0.03952313514836528
Diabetes,Label Noise,Logistic Regression,Brier Score,12,4,3,3,0.9300699300699302,0.915914240908466,9,0.7166666666666667,0.7855528728439357,0.022591525231441312
Diabetes,Label Noise,LightGBM,AUROC,12,4,3,3,0.6363636363636365,0.6961241289690792,9,0.5833333333333334,0.6329240663541199,0.05924522596986104
Diabetes,Label Noise,LightGBM,AUPRC,12,4,3,3,0.7272727272727274,0.7333505024243125,9,0.9,0.9251142401259199,0.04046706537253422
Diabetes,Label Noise,LightGBM,Brier Score,12,4,3,3,0.9230769230769231,0.7130075941670464,9,0.7166666666666667,0.48458983842392706,0.030039566537976098
Diabetes,Missingness,Logistic Regression,AUROC,27,7,6,3,-0.2316176470588235,-0.23906622188593846,18,0.2115583075335397,0.21517117067010205,0.01995898125011486
Diabetes,Missingness,Logistic Regression,AUPRC,27,7,6,3,0.6556372549019607,0.8473600526608618,18,0.5025799793601652,0.6123013521892802,0.01610027040642059
Diabetes,Missingness,Logistic Regression,Brier Score,27,7,6,3,0.6035539215686274,0.6941838717517276,18,0.6738906088751291,0.6745901388193275,0.009193833618171499
Diabetes,Missingness,LightGBM,AUROC,27,7,6,3,-0.16176470588235295,-0.1419375035579341,18,0.08359133126934985,0.014885090807098047,0.0230885456976605
Diabetes,Missingness,LightGBM,AUPRC,27,7,6,3,0.1176470588235294,0.12359820410750831,18,0.4716202270381837,0.4721237472260913,0.024380358955597814
Diabetes,Missingness,LightGBM,Brier Score,27,7,6,3,-0.07536764705882353,0.13822005860735714,18,0.40350877192982454,0.3746262887390251,0.005876023061664598
Diabetes,Feature Shift,Logistic Regression,AUROC,6,2,2,3,0.48571428571428577,0.3893565510143139,6,0.2571428571428572,0.628015191486171,0.036289676489231204
Diabetes,Feature Shift,Logistic Regression,AUPRC,6,2,2,3,0.2571428571428572,0.45956382432766457,6,-0.48571428571428577,-0.4316762255473389,0.016453404277952305
Diabetes,Feature Shift,Logistic Regression,Brier Score,6,2,2,3,0.942857142857143,0.9721603720770777,6,1.0,0.9890431165046407,0.060492781000404394
Diabetes,Feature Shift,LightGBM,AUROC,6,2,2,3,0.6571428571428573,0.6300079116014157,6,0.7714285714285715,0.6545604031775107,0.03281274833023762
Diabetes,Feature Shift,LightGBM,AUPRC,6,2,2,3,0.3714285714285715,0.5043576543679408,6,-0.14285714285714288,-0.16305186943683667,0.031719265449800915
Diabetes,Feature Shift,LightGBM,Brier Score,6,2,2,3,0.942857142857143,0.9062686702405409,6,0.942857142857143,0.9661487478468083,0.03539523553379981
